,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,모두투어,SK디앤디,SK리츠,롯데리츠,코람코라이프인프라리츠,신한서부티앤디리츠,코람코더원리츠,스타리츠,디앤디플랫폼리츠,미래에셋글로벌치ㅡ,NH올원리츠,ESR켄달스퀘어리츠,제이알글로벌리츠,이지스레지던스리츠,이지스벨류리츠,NH프라임리츠,신한알파리츠,이리츠코크렙,케이탑리츠
2023-04-06,1.788343526975942,1.4604895256012436,1.411868414402398,1.9029673341043232,1.6254223077069672,2.554571355625704,2.63062374154502,1.1654885451698371,1.0793807735168606,1.0092858419781825,1.2227972757078351,1.379434302075468,3.405919418490305,0.8813601459636038,1.885734290933197,1.4996306436934588,1.4545543520117918,0.995422772712864,0.6328262037096829,1.7696473580633658,1.063319663842359,1.4640175036639875,0.8048673063491102,1.1808775628726256
2023-04-07,1.8662899526442296,1.4566670885493411,1.4493936218819308,1.9272695977422314,1.83866470726905,2.0532769488025018,1.7684644210217197,1.3653212332012985,1.1036436826036735,1.064083814111515,1.1986945542756369,1.4688249073307287,1.574475470128213,1.028565601040503,1.7765164126301562,1.4115043054962133,1.431021436906496,0.9765522883481546,0.6181258459659409,1.0693105102201048,1.0649611693808596,1.2324541144739998,0.7617714334498731,0.8720183904570661
2023-04-10,1.8386277301154583,1.4492092307994584,1.4951640790728915,1.921789016091333,1.6455876978322752,2.0314359212453517,2.003444341038858,1.186887097285632,1.2712428478571363,0.8859529854559022,1.3148927895747338,1.2597471932492803,1.513671306666974,0.8886175365930373,1.8622685805377028,1.3805836355878667,1.4044218558431483,0.956656093490525,0.603021589441005,1.567020878372183,1.0588041806157014,1.643574794946006,0.725740578371365,1.1385737156850368
2023-04-11,1.785196347394278,1.4297417265011259,1.467097327701969,1.8922023592360164,1.639564004399169,2.438849979062201,2.5492395350643173,1.0968135922823998,1.0084539324811992,0.8638265384105068,1.83400253889227,1.23673638733148,1.7293580475279422,0.8882512444111771,1.6837919357843127,1.222534564161938,1.4461792883850864,0.964598619421048,0.5904987125518579,1.1419394965429646,1.0627490846841916,1.4432982845876516,0.6918673654704107,1.0065790359050293
2023-04-12,1.7431445029862518,1.4872365800422613,1.531483982879602,1.8739632388580871,1.730925630171804,2.0519484091069162,1.8101467384261514,1.3053950073154492,1.1179534040284635,0.912824769954805,1.5802795221416566,1.1253813254766456,1.8661942378503147,1.0057234008770157,1.6094101103287284,1.2193585777203448,1.4452721252227891,0.9454229410111216,0.5824933633574699,1.4432139372867159,1.0553404792111478,1.1398643827263015,0.7558482986368158,1.1277751426017513
2023-04-13,1.8092951151154315,1.525615309565608,1.5096574669873732,1.8387350473030044,1.5985966309670347,1.9357261960816714,1.9691992047752498,1.2589972792218174,1.0635047472237085,0.9673051027822708,1.4410730510353855,1.780623096547852,2.1120717796769015,0.8923475317318069,1.5308368911272694,1.0182627054943372,1.468666829937894,0.9269084058799097,0.5978809191583097,1.1280582456323467,1.0487426700138562,1.4188443513575546,0.7208952928637129,0.9716921284085973
2023-04-14,1.8334988653008153,1.507246946416415,1.4808732651344823,1.8794058238531641,1.7521543073777808,2.314211206236149,2.754394283224024,1.1714600289887502,1.088210353884695,0.8664785832067615,1.3590407709905965,1.1498584717370959,1.9013972250856843,0.8526462679152693,1.423625322952847,0.9209593202905727,1.4805942168377961,0.9072146011115302,0.5842268445255828,1.3101858476053383,1.043511967220065,1.402694035419981,0.6889075599327044,0.9515326509266265
2023-04-17,1.8061287833380533,1.5419548226456345,1.5018208875999204,1.8629294585008684,2.1956773846937363,1.9766913515943796,1.915310079630639,1.0429496009725312,0.965142614096054,0.8912313326903392,1.261357195880387,1.2582023058389282,1.9993483146065356,0.9916453060839118,1.3507794148227112,1.3035820395319766,1.4695443664768975,1.0023229727935064,0.5715688734197378,1.16744652043487,1.0474866140111532,1.0341098662575992,0.6766835545654541,1.2457130680675585
2023-04-18,1.8847832952909365,1.5291164213135997,1.478531960097914,1.8259740109740983,1.7166039177953474,1.900820969017389,2.0994303793276883,1.14896703721987,1.0838461064852505,1.0538129591127416,1.2075782987713655,1.1642405321734226,3.1426467775331757,0.913189651245237,1.3658138771916062,0.8942838154634589,1.4714988128077073,0.9795047388757645,0.5603910515676428,1.3191621710515666,1.0411988520314879,1.2298584135091983,0.8027363350138165,0.97587376603564
2023-04-19,1.8259177414086991,1.5134839913287004,1.4706775772358651,1.8374802251364144,1.8597535168870871,2.255985776144774,2.7713579068826437,1.1623289304520044,1.1575301437551702,1.1826330406934134,1.1836839064176274,0.9743690488929979,4.285535945455533,0.813061384881218,1.2704507331738706,0.8102415572009078,1.4363461647615339,0.9582223581357285,0.5548038026359182,1.2174307340530495,1.0369179643896518,1.5026036004647971,0.7857281112345217,1.8094955580623042
2023-04-20,1.775431440332636,1.4892269193008094,1.4469901193475485,1.815983224800575,1.7944523539870403,1.932322651493235,1.8723295997056424,1.0675216727203822,1.3222432742390795,0.8935449325862483,1.2483752171796845,1.2397902691177434,5.110165676038897,0.8919414134583378,1.2036820894339642,0.9720384522215914,1.4143003493440895,0.9504514317780969,0.6769274080404818,1.3207388186178388,1.0312431882806192,1.747352577467505,0.7552103784086134,1.0687166130923083
