,Date,SK㈜,롯데쇼핑,HD현대,서부티앤디,하나금융지주,모두투어,SK디앤디
209,2023-02-06,191816.484375,88637.0390625,56684.92578125,7042.70166015625,44480.71484375,20655.962890625,20753.02734375
210,2023-02-07,189971.15625,87779.2578125,56213.3359375,7024.64306640625,44759.59375,20852.6875,20850.001953125
211,2023-02-08,194244.546875,87969.875,56496.29296875,7187.16748046875,45456.78515625,20311.697265625,20898.4921875
212,2023-02-09,194730.140625,87398.0234375,56496.29296875,7214.25439453125,44480.71484375,20213.3359375,20898.4921875
213,2023-02-10,193273.3125,88255.8046875,56873.5625,7178.13818359375,45410.30078125,20508.419921875,20850.001953125
214,2023-02-13,190359.65625,86540.25,59231.50390625,7060.759765625,45549.7421875,20360.87890625,20656.048828125
215,2023-02-14,192302.09375,85491.8515625,58005.375,7376.77880859375,43551.12890625,20360.87890625,20704.537109375
216,2023-02-15,180938.78125,84443.4609375,57628.1015625,7295.5166015625,41180.68359375,20213.3359375,20365.119140625
217,2023-02-16,182395.625,84729.3828125,58382.64453125,7277.45849609375,41273.64453125,20508.419921875,20365.119140625
218,2023-02-17,181715.75,84729.3828125,58759.9140625,7331.6328125,42946.8984375,20360.87890625,20268.142578125
219,2023-02-20,182492.734375,85777.78125,57816.734375,7295.5166015625,42621.54296875,20508.419921875,20413.607421875
220,2023-02-21,182492.734375,85205.9296875,58194.0078125,7286.4873046875,43086.3359375,20065.79296875,20462.09375
221,2023-02-22,178802.09375,84062.2265625,57250.83203125,7132.99267578125,41831.39453125,19377.26171875,20074.1875
222,2023-02-23,177248.125,84443.4609375,56684.92578125,7196.1962890625,42017.3125,19642.837890625,20025.69921875
223,2023-02-24,175208.578125,83299.7578125,56684.92578125,7151.05078125,42110.26953125,19278.8984375,19928.72265625
224,2023-02-27,173169.015625,82632.59375,56873.5625,6970.46826171875,42296.19140625,19328.080078125,20074.1875
225,2023-02-28,173460.375,82918.5234375,56024.703125,7114.93408203125,42203.23046875,20262.515625,19880.234375
226,2023-03-02,176859.640625,83013.828125,56119.0234375,6961.439453125,41552.515625,20557.6015625,19928.72265625
227,2023-03-03,176568.28125,83490.375,55175.83984375,6889.20703125,40901.8125,20459.240234375,19880.234375
228,2023-03-06,179093.46875,83109.140625,55458.79296875,6780.85791015625,40390.53515625,20016.611328125,20171.1640625
229,2023-03-07,175791.296875,82727.90625,55364.4765625,6762.79931640625,40715.89453125,19869.0703125,19977.212890625
230,2023-03-08,172780.515625,81298.2734375,54421.30078125,6672.5078125,40437.015625,19672.345703125,19977.212890625
231,2023-03-09,169284.125,81202.9609375,54138.34765625,6762.79931640625,39786.3046875,19819.888671875,19880.234375
232,2023-03-10,167341.671875,79678.0234375,53289.48828125,6618.33349609375,39275.03515625,19003.486328125,19540.81640625
233,2023-03-13,167730.15625,78439.015625,54232.6640625,6573.18798828125,39693.34375,18914.9609375,19162.607421875
234,2023-03-14,162776.921875,75675.0625,52817.8984375,6356.48974609375,38159.52734375,18196.919921875,18503.1640625
235,2023-03-15,161222.953125,75579.7578125,53761.078125,6410.6640625,39042.6328125,18069.05078125,18435.28125
236,2023-03-16,158212.171875,74817.2890625,52912.21875,6365.5185546875,37787.69140625,17626.421875,18435.28125
237,2023-03-17,160251.734375,75103.2109375,53195.171875,6753.77001953125,38391.92578125,18885.453125,18551.654296875
238,2023-03-20,158212.171875,76723.4609375,52817.8984375,6645.4208984375,38391.92578125,18344.462890625,18318.91015625
239,2023-03-21,162388.421875,77295.3125,53289.48828125,6798.91552734375,39089.1171875,18029.705078125,18241.328125
240,2023-03-22,160543.109375,77009.3828125,53666.7578125,6753.77001953125,38624.32421875,17891.998046875,18115.2578125
241,2023-03-23,158600.671875,75960.9921875,53761.078125,6780.85791015625,38996.15625,17951.015625,17863.119140625
242,2023-03-24,160445.984375,75960.9921875,53666.7578125,6898.23583984375,37508.8203125,17714.947265625,17649.76953125
243,2023-03-27,160154.625,75579.7578125,53478.12109375,6708.62451171875,37276.421875,17577.2421875,17174.583984375
244,2023-03-28,161320.09375,75865.6796875,54421.30078125,6835.0322265625,37880.65234375,17705.111328125,18522.560546875
245,2023-03-29,160931.59375,76342.2265625,54515.6171875,6835.0322265625,37601.7734375,18069.05078125,18580.74609375
246,2023-03-30,167827.28125,77867.1640625,54515.6171875,6889.20703125,38026.390625,18187.083984375,18891.072265625
247,2023-03-31,167535.921875,78057.78125,54798.5703125,6988.52685546875,38403.82421875,18147.740234375,18619.537109375
248,2023-04-03,166856.046875,78248.3984375,55458.79296875,6970.46826171875,38309.46484375,18010.033203125,18435.28125
249,2023-04-04,169478.359375,78248.3984375,55930.3828125,6925.32275390625,38875.61328125,17911.671875,18706.81640625
250,2023-04-05,168604.25,77676.546875,55458.79296875,7015.6142578125,38875.61328125,17832.982421875,18813.490234375
251,2023-04-06,164136.625,76914.078125,54609.93359375,6862.119140625,38073.5703125,17410.025390625,18619.537109375
252,2023-04-07,166176.203125,76246.9140625,53666.7578125,6979.498046875,38498.1796875,17439.53515625,18522.560546875
253,2023-04-10,166370.453125,76056.296875,53761.078125,6916.2939453125,38167.92578125,17046.087890625,18483.76953125
254,2023-04-11,167244.546875,77485.9296875,54987.20703125,7006.5849609375,38734.07421875,17114.94140625,18803.79296875
255,2023-04-12,171226.5625,78820.25,55458.79296875,7042.70166015625,39158.69140625,17124.77734375,18939.560546875
256,2023-04-13,167730.15625,78248.3984375,55647.4296875,7214.25439453125,38451.00390625,16967.3984375,19734.76953125
257,2023-04-14,169672.609375,79582.71875,56590.60546875,7123.96337890625,39819.1953125,17203.466796875,20219.654296875
258,2023-04-17,165107.84375,78820.25,56967.87890625,7142.02197265625,39158.69140625,16908.380859375,20801.513671875
259,2023-04-18,165107.84375,79392.1015625,56496.29296875,7277.45849609375,39630.48046875,17164.12109375,21334.88671875
260,2023-04-19,165593.46875,79106.171875,56401.97265625,7205.22509765625,39819.1953125,17075.595703125,21334.88671875
261,2023-04-20,163359.65625,78724.9375,56590.60546875,7142.02197265625,40149.453125,16731.330078125,20946.978515625
262,2023-04-21,162097.0625,77867.1640625,56590.60546875,7024.64306640625,39772.015625,16259.1943359375,20753.02734375
263,2023-04-24,160445.984375,77009.3828125,56684.92578125,6943.38134765625,39253.046875,15924.7646484375,21140.931640625
264,2023-04-25,158406.421875,76628.1484375,56024.703125,6871.1484375,39724.83984375,16032.9619140625,21043.95703125
265,2023-04-26,158697.78125,77390.6171875,55364.4765625,6771.828125,39677.66015625,16200.1767578125,22013.72265625
266,2023-04-27,157240.953125,76056.296875,55553.109375,6699.595703125,39300.2265625,15993.6171875,22547.095703125
267,2023-04-28,157823.6875,76056.296875,55836.0625,6681.53759765625,39583.30078125,16131.32421875,21965.236328125
268,2023-05-02,160640.21875,76914.078125,56401.97265625,6871.1484375,40007.91015625,16613.296875,22159.1875
269,2023-05-03,159183.40625,76151.609375,55930.3828125,6871.1484375,39205.8671875,16406.736328125,21916.74609375
270,2023-05-04,159377.640625,75865.6796875,54609.93359375,6807.94482421875,39253.046875,16652.640625,21625.81640625
271,2023-05-08,162097.0625,77485.9296875,55553.109375,6898.23583984375,39913.55859375,16721.494140625,21722.79296875
272,2023-05-09,162874.046875,78057.78125,55836.0625,7015.6142578125,39819.1953125,16387.064453125,22741.05078125
273,2023-05-10,162194.1875,77009.3828125,55836.0625,7015.6142578125,38545.359375,16632.96875,22692.560546875
274,2023-05-11,161514.328125,76532.84375,55553.109375,7132.99267578125,39536.12109375,16810.01953125,22692.560546875
275,2023-05-12,159960.375,78629.6328125,54609.93359375,7142.02197265625,38781.2578125,16682.150390625,21916.74609375
276,2023-05-15,160737.359375,77390.6171875,54798.5703125,6952.41064453125,38828.43359375,16849.365234375,21916.74609375
277,2023-05-16,158406.421875,77676.546875,54138.34765625,6943.38134765625,39111.51171875,16564.115234375,21722.79296875
278,2023-05-17,159377.640625,77295.3125,54044.03125,6916.2939453125,38922.79296875,17154.28515625,21674.306640625
