Date,SK리츠,롯데리츠,코람코라이프인프라리츠,신한서부티앤디리츠,코람코더원리츠,스타리츠,디앤디플랫폼리츠,미래에셋글로벌치ㅡ,NH올원리츠,ESR켄달스퀘어리츠,제이알글로벌리츠,이지스레지던스리츠,이지스벨류리츠,NH프라임리츠,신한알파리츠,이리츠코크렙,케이탑리츠
2022-08-23,5230.537109375,4598.28173828125,5135.560546875,4305.02978515625,4984.39697265625,3007.47314453125,4053.222412109375,3930.629638671875,4248.25,4844.75,4022.955078125,4323.556640625,4314.93994140625,4061.022216796875,6995.189453125,5404.48828125,878.4161376953125
2022-08-24,5052.32470703125,4598.28173828125,5051.82861328125,4274.05859375,4957.20947265625,3001.220458984375,4062.072265625,3882.2529296875,4225.310546875,4754.8662109375,4040.407958984375,4342.2529296875,4306.3955078125,4069.607421875,6968.6259765625,5376.6298828125,870.3201293945312
2022-08-25,5123.60986328125,4625.59765625,5107.64990234375,4269.63427734375,4966.27197265625,3023.1044921875,4084.197021484375,3946.755615234375,4248.25,4889.69189453125,4101.494140625,4426.38671875,4357.66259765625,4078.193115234375,7030.6083984375,5460.20458984375,882.4641723632812
2022-08-26,5141.43115234375,4634.703125,5107.64990234375,4296.1806640625,4966.27197265625,3010.599365234375,4097.4716796875,3950.786865234375,4252.83740234375,4934.634765625,4097.130859375,4431.06103515625,4349.11767578125,4073.900634765625,7048.31787109375,5460.20458984375,878.4161376953125
2022-08-29,5079.056640625,4580.0703125,4986.70361328125,4247.51171875,4884.70947265625,2935.56884765625,4106.3212890625,3910.472900390625,4202.3720703125,4943.62255859375,4053.498291015625,4412.36474609375,4289.306640625,3996.629638671875,6986.3349609375,5339.4853515625,854.1281127929688
2022-08-30,5016.6826171875,4616.49267578125,4968.09619140625,4243.0869140625,4939.6962890625,2954.32666015625,4075.34716796875,3898.37841796875,4174.845703125,4961.599609375,4053.498291015625,4388.99365234375,4343.93603515625,3988.04345703125,7030.6083984375,5339.4853515625,862.2241821289062
2022-08-31,5061.2353515625,4671.12548828125,4968.09619140625,4216.5400390625,4939.6962890625,2954.32666015625,4110.74658203125,3918.53564453125,4165.669921875,4970.587890625,4105.857421875,4393.66845703125,4330.71923828125,3957.994140625,7110.30126953125,5330.19970703125,862.2241821289062
2022-09-01,5034.50341796875,4634.703125,4921.5791015625,4154.59716796875,4903.03857421875,2935.56884765625,4035.523193359375,3870.158447265625,4037.21337890625,4898.68115234375,4031.681396484375,4337.5791015625,4251.41845703125,3919.3583984375,7048.31787109375,5302.34130859375,841.984130859375
2022-09-02,5105.7890625,4616.49267578125,4902.9716796875,4128.05029296875,4903.03857421875,2941.821533203125,4008.9736328125,3858.064453125,4037.21337890625,4979.57666015625,3979.322021484375,4295.51171875,4260.2294921875,3927.944091796875,7004.04443359375,5283.76953125,833.8881225585938
2022-09-05,5043.41455078125,4580.0703125,4865.75732421875,4088.22998046875,4857.2158203125,2941.821533203125,4008.9736328125,3845.97021484375,4028.0380859375,4862.72705078125,3935.689208984375,4286.16357421875,4216.17333984375,3902.187255859375,7012.89892578125,5274.4833984375,829.840087890625
2022-09-06,4936.486328125,4589.17578125,4912.27490234375,4159.02197265625,4838.88623046875,2938.695068359375,3969.149169921875,3894.347412109375,4060.15234375,4835.76220703125,3953.142333984375,4286.16357421875,4255.82421875,3910.772705078125,7048.31787109375,5293.0556640625,841.984130859375
2022-09-07,4909.7548828125,4543.64794921875,4819.23974609375,4101.50341796875,4765.5703125,2894.927490234375,3938.174560546875,3854.032958984375,4014.274658203125,4844.75,3909.50927734375,4225.400390625,4233.7958984375,3906.47998046875,7057.17236328125,5265.197265625,829.840087890625
2022-09-08,4900.84423828125,4548.201171875,4800.6328125,4150.17236328125,4793.0634765625,2891.80126953125,3986.848876953125,3862.095458984375,4046.38916015625,4898.68115234375,4140.763671875,4262.79296875,4233.7958984375,3902.187255859375,7057.17236328125,5246.625,833.8881225585938
2022-09-13,4945.39697265625,4589.17578125,4856.45361328125,4141.32373046875,4793.0634765625,2891.80126953125,4000.123779296875,3890.3154296875,4046.38916015625,4988.564453125,4297.8427734375,4272.14111328125,4260.2294921875,3936.529541015625,7066.02685546875,5255.9111328125,841.984130859375
2022-09-14,4865.20166015625,4570.96484375,4865.75732421875,4136.89892578125,4793.0634765625,2904.306396484375,3964.724609375,3878.221435546875,4055.564208984375,4997.5537109375,4315.2958984375,4248.7705078125,4238.20166015625,3992.336669921875,7092.5908203125,5320.91357421875,850.0801391601562
2022-09-15,4865.20166015625,4580.0703125,4800.6328125,4088.22998046875,4793.0634765625,2907.4326171875,3924.89990234375,3829.844482421875,4055.564208984375,4970.587890625,4241.119140625,4244.0966796875,4216.17333984375,3957.994140625,7101.4453125,5339.4853515625,841.984130859375
2022-09-16,4865.20166015625,4625.59765625,4726.2041015625,4030.7109375,4756.4052734375,2919.9375,3876.22607421875,3829.844482421875,4110.6171875,5087.4375,4206.21337890625,4220.7255859375,4251.41845703125,3962.28662109375,6977.48046875,5330.19970703125,837.9361572265625
2022-09-19,4874.11279296875,4598.28173828125,4670.3828125,4030.7109375,4728.9111328125,2894.927490234375,3867.3759765625,3753.24755859375,4096.8544921875,4979.57666015625,4088.404296875,4188.0068359375,4247.0126953125,3936.529541015625,7048.31787109375,5339.4853515625,825.7921752929688
2022-09-20,4856.29052734375,4561.859375,4754.11474609375,4114.77685546875,4701.41796875,2894.927490234375,3933.749755859375,3733.09033203125,4069.32763671875,5051.4833984375,4092.767822265625,4197.35546875,4273.4462890625,3962.28662109375,7083.736328125,5376.6298828125,833.8881225585938
2022-09-21,4856.29052734375,4552.75390625,4819.23974609375,4048.40966796875,4683.08837890625,2876.169921875,3920.47509765625,3716.964599609375,4046.38916015625,4997.5537109375,4040.407958984375,4230.07421875,4269.04052734375,3949.407958984375,7074.8818359375,5358.05810546875,829.840087890625
2022-09-22,4740.45263671875,4548.201171875,4800.6328125,4030.7109375,4646.4306640625,2879.296142578125,3880.650634765625,3720.99609375,4037.21337890625,4925.64599609375,3974.958740234375,4188.0068359375,4185.333984375,3970.87255859375,7057.17236328125,5330.19970703125,817.6961059570312
2022-09-23,4731.54248046875,4534.54248046875,4707.59716796875,4061.682861328125,4573.1142578125,2913.684814453125,3862.951171875,3708.902099609375,4000.511474609375,4835.76220703125,3896.419677734375,4169.310546875,4145.68359375,3859.2587890625,7083.736328125,5274.4833984375,809.60009765625
2022-09-26,4606.79345703125,4493.56787109375,4637.8203125,3986.466796875,4440.22802734375,2816.770751953125,3858.526123046875,3688.744873046875,3927.107666015625,4754.8662109375,3848.42333984375,4094.524658203125,4044.354248046875,3824.916015625,7057.17236328125,5209.48095703125,767.5009155273438
2022-09-27,4597.8828125,4470.80419921875,4572.69580078125,3893.552001953125,4353.16455078125,2851.15966796875,3862.951171875,3700.83935546875,3872.0546875,4673.970703125,3844.06005859375,4024.412841796875,3920.997314453125,3807.74462890625,6968.6259765625,5172.33642578125,759.4049072265625
2022-09-28,4526.59716796875,4425.2763671875,4493.615234375,3893.552001953125,4252.3544921875,2819.89697265625,3845.25146484375,3753.24755859375,3913.344482421875,4647.00537109375,3800.427001953125,4015.06494140625,3934.2138671875,3760.523681640625,6871.224609375,5107.33447265625,739.1649169921875
2022-09-29,4568.12646484375,4407.0654296875,4484.3115234375,3862.58056640625,4160.708984375,2848.033203125,3849.83447265625,3764.073486328125,3881.230224609375,4611.0517578125,3800.427001953125,3987.020263671875,3885.75244140625,3760.523681640625,6975.677734375,5098.0478515625,750.499267578125
2022-09-30,4550.0703125,4461.69873046875,4442.44580078125,3822.760009765625,4110.3037109375,2848.033203125,3790.253662109375,3739.090576171875,3890.40576171875,4539.14453125,3935.689208984375,3987.020263671875,3876.94091796875,3824.916015625,6921.18017578125,5060.90380859375,746.4513549804688
2022-10-04,4509.44482421875,4461.69873046875,4465.70458984375,3778.515625,4023.240966796875,2804.265625,3707.75732421875,3705.7802734375,3849.115966796875,4593.07470703125,3948.779296875,4010.390625,3824.073486328125,3842.08740234375,6930.26318359375,5060.90380859375,757.7857666015625
2022-10-05,4504.931640625,4457.14599609375,4442.44580078125,3747.5439453125,4004.91162109375,2838.654541015625,3657.343017578125,3597.521484375,3830.764892578125,4584.08642578125,3926.962890625,3963.649658203125,3749.177978515625,3803.451904296875,6848.51708984375,5023.759765625,753.7377319335938
